 10:09:27.007  WARN | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - searchProductInput = SearchProductInput [cluid=null, ProductInstDescr=81111-1942200254, TechnicalAgreementId=null, pageNumber=0, pageSize=0, productSourceSystem=null]
 10:09:27.008  WARN | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - searchProductOutput = SearchProductOutput [searchProducts=[]]
 10:09:27.008  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... createNewProductFromInput start.
 10:09:27.008  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... spisExists start.
 10:09:27.010  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... spisExists end [100].
 10:09:27.012  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboAcl - ID_EXT: 1452244166869, User: cen85552 ... setACL start.
 10:09:27.012  WARN | cz.ness.documentum.cskld.sbo.impl.CsSboAcl - setACL dump: get_acl_for_spis:[false], cluid:[null], store_unit:[null], vip_unit:[null], r_object_id:[null].
 10:09:27.012  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboAcl - ID_EXT: 1452244166869, User: cen85552 ... setACL end [50].
 10:09:27.058  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... createNewProductFromInput end [100].
 10:09:27.058  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: cen85552.
 10:09:27.060  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - ID_EXT: 1452244166869, User: cen85552 ... findProduct end [100].
 10:09:27.103  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244167103, User: cen85552
 10:09:27.104  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBoAbstract - ID_EXT: 1452244167103, User: cen85552 ... boAbstractModify start.
 10:09:27.184  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Adding dynamic group cs_superusers_dynamic into session for User: cen85552.
 10:09:27.185  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: cen85552.
